Number,Average_GPA,Instructor_Avg_GPA,College_ACES,College_Business,College_Education,College_Engineering,College_FAA,College_LAS,College_Languages,College_Media,College_Other
575,3.87,3.4,False,True,False,False,False,False,False,False,False
575,3.71,3.4,False,True,False,False,False,False,False,False,False
575,3.83,3.53,False,True,False,False,False,False,False,False,False
576,3.85,3.73,False,True,False,False,False,False,False,False,False
577,3.95,3.83,False,True,False,False,False,False,False,False,False
593,3.94,3.48,False,True,False,False,False,False,False,False,False
100,2.86,2.89,False,False,False,False,False,False,False,False,True
100,2.93,2.89,False,False,False,False,False,False,False,False,True
100,3.08,2.89,False,False,False,False,False,False,False,False,True
161,3.66,3.49,False,False,False,False,False,False,False,False,True
161,3.4,3.63,False,False,False,False,False,False,False,False,True
199,3.67,3.83,False,False,False,False,False,False,False,False,True
199,3.9,3.83,False,False,False,False,False,False,False,False,True
199,3.6,3.7,False,False,False,False,False,False,False,False,True
199,3.71,3.7,False,False,False,False,False,False,False,False,True
199,3.79,3.7,False,False,False,False,False,False,False,False,True
210,3.18,3.13,False,False,False,False,False,False,False,False,True
221,3.71,3.32,False,False,False,False,False,False,False,False,True
231,3.47,3.32,False,False,False,False,False,False,False,False,True
232,3.32,3.42,False,False,False,False,False,False,False,False,True
240,3.7,3.7,False,False,False,False,False,False,False,False,True
240,3.45,3.39,False,False,False,False,False,False,False,False,True
242,3.55,3.59,False,False,False,False,False,False,False,False,True
262,3.48,2.89,False,False,False,False,False,False,False,False,True
264,3.42,3.41,False,False,False,False,False,False,False,False,True
270,3.49,2.89,False,False,False,False,False,False,False,False,True
300,3.28,3.26,False,False,False,False,False,False,False,False,True
306,3.5,3.21,False,False,False,False,False,False,False,False,True
310,3.71,3.21,False,False,False,False,False,False,False,False,True
345,3.27,3.42,False,False,False,False,False,False,False,False,True
349,3.41,3.39,False,False,False,False,False,False,False,False,True
360,3.24,3.47,False,False,False,False,False,False,False,False,True
360,3.88,3.49,False,False,False,False,False,False,False,False,True
403,3.7,3.65,False,False,False,False,False,False,False,False,True
410,3.5,3.5,False,False,False,False,False,False,False,False,True
427,3.41,3.28,False,False,False,False,False,False,False,False,True
428,3.01,3.32,False,False,False,False,False,False,False,False,True
430,3.64,3.51,False,False,False,False,False,False,False,False,True
435,3.1,3.41,False,False,False,False,False,False,False,False,True
440,3.95,3.7,False,False,False,False,False,False,False,False,True
444,3.13,3.08,False,False,False,False,False,False,False,False,True
446,3.41,3.08,False,False,False,False,False,False,False,False,True
449,3.3,3.39,False,False,False,False,False,False,False,False,True
456,3.29,3.18,False,False,False,False,False,False,False,False,True
474,3.53,3.26,False,False,False,False,False,False,False,False,True
476,3.28,3.28,False,False,False,False,False,False,False,False,True
546,3.76,3.08,False,False,False,False,False,False,False,False,True
102,3.56,3.64,True,False,False,False,False,False,False,False,False
150,3.67,3.81,False,False,False,False,False,False,False,True,False
150,3.6,3.81,False,False,False,False,False,False,False,True,False
150,3.79,3.81,False,False,False,False,False,False,False,True,False
150,3.78,3.81,False,False,False,False,False,False,False,True,False
150,3.91,3.88,False,False,False,False,False,False,False,True,False
150,3.9,3.83,False,False,False,False,False,False,False,True,False
150,3.86,3.88,False,False,False,False,False,False,False,True,False
150,3.84,3.83,False,False,False,False,False,False,False,True,False
175,3.68,3.14,False,False,False,False,False,False,False,True,False
200,3.54,3.31,False,False,False,False,False,False,False,True,False
200,2.77,3.31,False,False,False,False,False,False,False,True,False
201,3.79,3.61,False,False,False,False,False,False,False,True,False
222,3.93,3.81,False,False,False,False,False,False,False,True,False
250,3.82,3.68,False,False,False,False,False,False,False,True,False
270,3.38,3.51,False,False,False,False,False,False,False,True,False
280,2.96,3.32,False,False,False,False,False,False,False,True,False
281,2.35,2.86,False,False,False,False,False,False,False,True,False
281,2.54,2.86,False,False,False,False,False,False,False,True,False
281,3.17,3.43,False,False,False,False,False,False,False,True,False
281,2.97,3.43,False,False,False,False,False,False,False,True,False
284,3.54,3.71,False,False,False,False,False,False,False,True,False
284,3.59,3.62,False,False,False,False,False,False,False,True,False
284,3.78,3.62,False,False,False,False,False,False,False,True,False
284,3.65,3.71,False,False,False,False,False,False,False,True,False
290,3.94,3.91,False,False,False,False,False,False,False,True,False
301,3.75,3.39,False,False,False,False,False,False,False,True,False
310,3.05,3.4,False,False,False,False,False,False,False,True,False
314,3.94,3.78,False,False,False,False,False,False,False,True,False
320,3.76,3.51,False,False,False,False,False,False,False,True,False
333,3.97,3.81,False,False,False,False,False,False,False,True,False
350,3.69,3.67,False,False,False,False,False,False,False,True,False
360,3.4,3.66,False,False,False,False,False,False,False,True,False
360,3.59,3.66,False,False,False,False,False,False,False,True,False
360,3.3,3.18,False,False,False,False,False,False,False,True,False
370,3.75,3.51,False,False,False,False,False,False,False,True,False
390,3.8,3.81,False,False,False,False,False,False,False,True,False
393,3.8,3.27,False,False,False,False,False,False,False,True,False
409,3.78,3.85,False,False,False,False,False,False,False,True,False
410,3.21,3.27,False,False,False,False,False,False,False,True,False
410,3.27,3.27,False,False,False,False,False,False,False,True,False
461,3.52,3.36,False,False,False,False,False,False,False,True,False
480,3.82,3.89,False,False,False,False,False,False,False,True,False
483,3.82,3.32,False,False,False,False,False,False,False,True,False
483,3.3,3.68,False,False,False,False,False,False,False,True,False
483,3.08,3.14,False,False,False,False,False,False,False,True,False
490,3.53,3.68,False,False,False,False,False,False,False,True,False
490,3.79,3.66,False,False,False,False,False,False,False,True,False
492,3.85,3.89,False,False,False,False,False,False,False,True,False
498,3.98,3.91,False,False,False,False,False,False,False,True,False
498,3.98,3.91,False,False,False,False,False,False,False,True,False
582,3.73,3.63,False,False,False,False,False,False,False,True,False
588,3.96,3.14,False,False,False,False,False,False,False,True,False
140,3.38,3.51,False,False,False,True,False,False,False,False,False
140,3.72,3.51,False,False,False,True,False,False,False,False,False
140,3.56,3.51,False,False,False,True,False,False,False,False,False
202,3.85,3.83,False,False,False,True,False,False,False,False,False
202,3.98,3.83,False,False,False,True,False,False,False,False,False
311,3.17,3.51,False,False,False,True,False,False,False,False,False
312,2.62,3.14,False,False,False,True,False,False,False,False,False
321,3.24,3.15,False,False,False,True,False,False,False,False,False
323,3.15,3.15,False,False,False,True,False,False,False,False,False
352,3.37,3.15,False,False,False,True,False,False,False,False,False
353,3.74,3.48,False,False,False,True,False,False,False,False,False
370,3.62,3.36,False,False,False,True,False,False,False,False,False
403,3.47,3.47,False,False,False,True,False,False,False,False,False
410,3.54,3.51,False,False,False,True,False,False,False,False,False
419,3.42,3.26,False,False,False,True,False,False,False,False,False
434,3.27,3.11,False,False,False,True,False,False,False,False,False
435,2.78,2.93,False,False,False,True,False,False,False,False,False
443,3.53,3.38,False,False,False,True,False,False,False,False,False
443,3.26,3.49,False,False,False,True,False,False,False,False,False
461,3.58,3.24,False,False,False,True,False,False,False,False,False
498,3.34,3.62,False,False,False,True,False,False,False,False,False
508,3.48,3.62,False,False,False,True,False,False,False,False,False
526,3.68,3.12,False,False,False,True,False,False,False,False,False
598,3.84,3.72,False,False,False,True,False,False,False,False,False
132,3.23,3.48,False,False,False,False,False,False,False,False,True
228,3.53,3.48,False,False,False,False,False,False,False,False,True
411,3.81,3.81,False,False,False,False,False,False,False,False,True
220,3.81,3.71,True,False,False,False,False,False,False,False,False
420,3.66,3.62,True,False,False,False,False,False,False,False,False
495,3.76,3.81,True,False,False,False,False,False,False,False,False
101,3.41,3.11,False,False,False,False,False,False,False,False,True
285,3.4,3.4,False,False,False,False,False,False,False,False,True
115,3.46,3.62,True,False,False,False,False,False,False,False,False
100,3.59,3.65,True,False,False,False,False,False,False,False,False
100,3.52,3.65,True,False,False,False,False,False,False,False,False
103,3.99,3.69,True,False,False,False,False,False,False,False,False
199,3.26,3.69,True,False,False,False,False,False,False,False,False
199,3.19,3.69,True,False,False,False,False,False,False,False,False
199,3.52,3.69,True,False,False,False,False,False,False,False,False
205,3.6,3.77,True,False,False,False,False,False,False,False,False
207,3.66,3.68,True,False,False,False,False,False,False,False,False
210,3.87,3.87,True,False,False,False,False,False,False,False,False
223,2.97,3.1,True,False,False,False,False,False,False,False,False
224,2.67,2.83,True,False,False,False,False,False,False,False,False
250,3.73,3.65,True,False,False,False,False,False,False,False,False
255,3.88,3.75,True,False,False,False,False,False,False,False,False
298,3.87,3.84,True,False,False,False,False,False,False,False,False
363,3.18,3.56,True,False,False,False,False,False,False,False,False
404,3.81,3.77,True,False,False,False,False,False,False,False,False
406,3.29,3.46,True,False,False,False,False,False,False,False,False
407,2.81,3.29,True,False,False,False,False,False,False,False,False
409,3.49,3.65,True,False,False,False,False,False,False,False,False
446,3.75,3.46,True,False,False,False,False,False,False,False,False
450,3.1,2.9,True,False,False,False,False,False,False,False,False
464,3.68,3.71,True,False,False,False,False,False,False,False,False
498,3.84,3.78,True,False,False,False,False,False,False,False,False
526,3.57,3.56,True,False,False,False,False,False,False,False,False
101,3.89,3.89,False,False,False,False,False,True,False,False,False
103,3.73,3.48,False,False,False,False,False,True,False,False,False
103,3.85,3.66,False,False,False,False,False,True,False,False,False
105,3.43,3.66,False,False,False,False,False,True,False,False,False
246,3.56,3.7,False,False,False,False,False,True,False,False,False
246,3.74,3.24,False,False,False,False,False,True,False,False,False
249,3.3,3.51,False,False,False,False,False,True,False,False,False
259,3.05,3.44,False,False,False,False,False,True,False,False,False
278,3.87,3.39,False,False,False,False,False,True,False,False,False
462,3.72,3.56,False,False,False,False,False,True,False,False,False
172,3.21,3.36,False,False,False,False,True,False,False,False,False
232,3.41,3.01,False,False,False,False,True,False,False,False,False
274,3.49,3.54,False,False,False,False,True,False,False,False,False
372,3.67,3.46,False,False,False,False,True,False,False,False,False
407,3.07,3.11,False,False,False,False,True,False,False,False,False
409,3.58,3.58,False,False,False,False,True,False,False,False,False
416,3.18,3.15,False,False,False,False,True,False,False,False,False
435,3.17,3.33,False,False,False,False,True,False,False,False,False
435,2.64,2.64,False,False,False,False,True,False,False,False,False
468,3.68,3.46,False,False,False,False,True,False,False,False,False
501,3.83,3.42,False,False,False,False,True,False,False,False,False
517,3.36,3.43,False,False,False,False,True,False,False,False,False
535,3.45,3.62,False,False,False,False,True,False,False,False,False
537,3.56,3.24,False,False,False,False,True,False,False,False,False
538,3.61,3.37,False,False,False,False,True,False,False,False,False
218,3.89,3.85,False,False,False,False,True,False,False,False,False
218,3.45,3.51,False,False,False,False,True,False,False,False,False
228,3.78,3.45,False,False,False,False,True,False,False,False,False
326,3.43,3.55,False,False,False,False,True,False,False,False,False
326,3.72,3.55,False,False,False,False,True,False,False,False,False
333,3.9,3.85,False,False,False,False,True,False,False,False,False
333,3.49,3.51,False,False,False,False,True,False,False,False,False
333,3.8,3.77,False,False,False,False,True,False,False,False,False
402,3.93,3.73,False,False,False,False,True,False,False,False,False
418,3.21,3.63,False,False,False,False,True,False,False,False,False
426,3.84,3.84,False,False,False,False,True,False,False,False,False
471,3.88,3.85,False,False,False,False,True,False,False,False,False
101,3.59,3.48,False,False,False,False,True,False,False,False,False
211,3.76,3.31,False,False,False,False,True,False,False,False,False
240,3.47,3.28,False,False,False,False,True,False,False,False,False
242,3.18,3.31,False,False,False,False,True,False,False,False,False
299,3.18,3.35,False,False,False,False,True,False,False,False,False
343,3.1,3.01,False,False,False,False,True,False,False,False,False
302,3.89,3.65,False,False,False,False,True,False,False,False,False
397,3.73,3.35,False,False,False,False,True,False,False,False,False
398,3.52,3.23,False,False,False,False,True,False,False,False,False
210,3.94,3.94,False,False,False,False,True,False,False,False,False
220,3.51,3.81,False,False,False,False,True,False,False,False,False
210,2.92,3.24,False,False,False,False,False,False,False,False,True
406,2.66,2.66,False,False,False,False,False,False,False,False,True
442,2.79,2.65,False,False,False,False,False,False,False,False,True
454,3.25,3.46,False,False,False,False,False,False,False,False,True
461,3.14,3.24,False,False,False,False,False,False,False,False,True
469,3.79,3.72,False,False,False,False,False,False,False,False,True
539,3.45,3.51,False,False,False,False,False,False,False,False,True
100,3.29,3.19,False,False,False,False,False,True,False,False,False
100,2.86,3.19,False,False,False,False,False,True,False,False,False
121,3.24,3.19,False,False,False,False,False,True,False,False,False
122,3.35,3.38,False,False,False,False,False,True,False,False,False
150,3.76,3.44,False,False,False,False,False,True,False,False,False
210,2.58,3.14,False,False,False,False,False,True,False,False,False
210,2.78,3.14,False,False,False,False,False,True,False,False,False
310,3.37,3.14,False,False,False,False,False,True,False,False,False
330,3.7,3.58,False,False,False,False,False,True,False,False,False
405,3.17,2.93,False,False,False,False,False,True,False,False,False
414,3.07,3.24,False,False,False,False,False,True,False,False,False
100,3.14,3.12,False,False,False,False,False,True,False,False,False
120,3.46,3.21,False,False,False,False,False,True,False,False,False
140,3.89,3.73,False,False,False,False,False,True,False,False,False
201,3.14,3.21,False,False,False,False,False,True,False,False,False
207,3.95,3.74,False,False,False,False,False,True,False,False,False
304,3.13,3.04,False,False,False,False,False,True,False,False,False
313,2.88,3.12,False,False,False,False,False,True,False,False,False
210,3.76,3.65,False,True,False,False,False,False,False,False,False
210,3.82,3.65,False,True,False,False,False,False,False,False,False
211,3.61,3.85,False,True,False,False,False,False,False,False,False
211,3.69,3.77,False,True,False,False,False,False,False,False,False
211,3.58,3.6,False,True,False,False,False,False,False,False,False
211,3.74,3.83,False,True,False,False,False,False,False,False,False
211,3.82,3.77,False,True,False,False,False,False,False,False,False
211,3.62,3.85,False,True,False,False,False,False,False,False,False
211,3.89,3.85,False,True,False,False,False,False,False,False,False
211,3.82,3.85,False,True,False,False,False,False,False,False,False
275,3.81,3.8,False,True,False,False,False,False,False,False,False
275,3.79,3.84,False,True,False,False,False,False,False,False,False
275,3.79,3.84,False,True,False,False,False,False,False,False,False
275,3.76,3.84,False,True,False,False,False,False,False,False,False
275,3.72,3.8,False,True,False,False,False,False,False,False,False
275,3.87,3.8,False,True,False,False,False,False,False,False,False
275,3.92,3.82,False,True,False,False,False,False,False,False,False
275,3.77,3.82,False,True,False,False,False,False,False,False,False
300,3.83,3.75,False,True,False,False,False,False,False,False,False
300,3.26,3.35,False,True,False,False,False,False,False,False,False
310,3.8,3.85,False,True,False,False,False,False,False,False,False
310,3.9,3.92,False,True,False,False,False,False,False,False,False
311,3.47,3.6,False,True,False,False,False,False,False,False,False
311,3.68,3.6,False,True,False,False,False,False,False,False,False
311,3.59,3.6,False,True,False,False,False,False,False,False,False
312,3.47,3.53,False,True,False,False,False,False,False,False,False
312,3.57,3.53,False,True,False,False,False,False,False,False,False
313,3.86,3.89,False,True,False,False,False,False,False,False,False
314,3.34,3.47,False,True,False,False,False,False,False,False,False
314,3.16,3.47,False,True,False,False,False,False,False,False,False
320,3.54,3.84,False,True,False,False,False,False,False,False,False
320,3.86,3.88,False,True,False,False,False,False,False,False,False
322,3.55,3.72,False,True,False,False,False,False,False,False,False
324,3.87,3.64,False,True,False,False,False,False,False,False,False
324,3.82,3.64,False,True,False,False,False,False,False,False,False
325,3.96,3.87,False,True,False,False,False,False,False,False,False
326,3.68,3.64,False,True,False,False,False,False,False,False,False
329,3.85,3.75,False,True,False,False,False,False,False,False,False
330,3.84,3.74,False,True,False,False,False,False,False,False,False
331,3.83,3.67,False,True,False,False,False,False,False,False,False
335,3.54,3.24,False,True,False,False,False,False,False,False,False
338,3.9,3.73,False,True,False,False,False,False,False,False,False
340,3.94,3.69,False,True,False,False,False,False,False,False,False
340,3.71,3.69,False,True,False,False,False,False,False,False,False
340,3.62,3.69,False,True,False,False,False,False,False,False,False
341,3.86,3.53,False,True,False,False,False,False,False,False,False
346,3.83,3.8,False,True,False,False,False,False,False,False,False
350,3.83,3.81,False,True,False,False,False,False,False,False,False
350,3.69,3.76,False,True,False,False,False,False,False,False,False
350,3.95,3.81,False,True,False,False,False,False,False,False,False
351,3.96,3.9,False,True,False,False,False,False,False,False,False
351,3.88,3.9,False,True,False,False,False,False,False,False,False
352,3.93,3.8,False,True,False,False,False,False,False,False,False
352,3.93,3.8,False,True,False,False,False,False,False,False,False
353,3.98,3.89,False,True,False,False,False,False,False,False,False
356,3.6,3.6,False,True,False,False,False,False,False,False,False
370,3.94,3.81,False,True,False,False,False,False,False,False,False
374,3.68,3.56,False,True,False,False,False,False,False,False,False
374,3.28,3.56,False,True,False,False,False,False,False,False,False
375,3.82,3.6,False,True,False,False,False,False,False,False,False
378,3.96,3.83,False,True,False,False,False,False,False,False,False
379,3.73,3.6,False,True,False,False,False,False,False,False,False
380,3.95,3.84,False,True,False,False,False,False,False,False,False
381,3.71,3.77,False,True,False,False,False,False,False,False,False
381,3.92,3.77,False,True,False,False,False,False,False,False,False
382,3.97,3.88,False,True,False,False,False,False,False,False,False
383,3.94,3.82,False,True,False,False,False,False,False,False,False
395,3.73,3.73,False,True,False,False,False,False,False,False,False
403,3.94,3.65,False,True,False,False,False,False,False,False,False
420,3.72,3.78,False,True,False,False,False,False,False,False,False
446,3.85,3.74,False,True,False,False,False,False,False,False,False
449,3.65,3.65,False,True,False,False,False,False,False,False,False
449,3.81,3.82,False,True,False,False,False,False,False,False,False
449,3.53,3.66,False,True,False,False,False,False,False,False,False
449,3.8,3.82,False,True,False,False,False,False,False,False,False
449,3.64,3.82,False,True,False,False,False,False,False,False,False
449,3.76,3.65,False,True,False,False,False,False,False,False,False
449,3.89,3.82,False,True,False,False,False,False,False,False,False
449,3.76,3.1,False,True,False,False,False,False,False,False,False
449,3.62,3.7,False,True,False,False,False,False,False,False,False
449,3.44,3.65,False,True,False,False,False,False,False,False,False
449,3.84,3.66,False,True,False,False,False,False,False,False,False
453,3.96,3.83,False,True,False,False,False,False,False,False,False
508,3.88,3.78,False,True,False,False,False,False,False,False,False
508,3.58,3.78,False,True,False,False,False,False,False,False,False
509,3.82,3.64,False,True,False,False,False,False,False,False,False
509,3.75,3.64,False,True,False,False,False,False,False,False,False
520,3.95,3.75,False,True,False,False,False,False,False,False,False
520,3.81,3.75,False,True,False,False,False,False,False,False,False
524,3.73,3.64,False,True,False,False,False,False,False,False,False
525,3.88,3.75,False,True,False,False,False,False,False,False,False
526,3.85,3.72,False,True,False,False,False,False,False,False,False
527,3.69,3.74,False,True,False,False,False,False,False,False,False
543,3.68,3.74,False,True,False,False,False,False,False,False,False
543,3.75,3.74,False,True,False,False,False,False,False,False,False
544,3.86,3.62,False,True,False,False,False,False,False,False,False
544,3.72,3.62,False,True,False,False,False,False,False,False,False
544,3.73,3.62,False,True,False,False,False,False,False,False,False
550,3.76,3.81,False,True,False,False,False,False,False,False,False
550,3.94,3.81,False,True,False,False,False,False,False,False,False
550,3.93,3.84,False,True,False,False,False,False,False,False,False
554,3.19,3.41,False,True,False,False,False,False,False,False,False
555,3.81,3.71,False,True,False,False,False,False,False,False,False
557,3.47,3.76,False,True,False,False,False,False,False,False,False
557,3.91,3.83,False,True,False,False,False,False,False,False,False
558,3.92,3.81,False,True,False,False,False,False,False,False,False
567,3.95,3.6,False,True,False,False,False,False,False,False,False
567,3.76,3.6,False,True,False,False,False,False,False,False,False
572,3.59,3.51,False,True,False,False,False,False,False,False,False
572,3.52,3.51,False,True,False,False,False,False,False,False,False
573,3.85,3.56,False,True,False,False,False,False,False,False,False
576,3.85,3.81,False,True,False,False,False,False,False,False,False
582,3.58,3.77,False,True,False,False,False,False,False,False,False
584,3.97,3.88,False,True,False,False,False,False,False,False,False
589,3.65,3.66,False,True,False,False,False,False,False,False,False
589,3.76,3.51,False,True,False,False,False,False,False,False,False
589,3.6,3.66,False,True,False,False,False,False,False,False,False
589,3.65,3.66,False,True,False,False,False,False,False,False,False
590,3.71,3.71,False,True,False,False,False,False,False,False,False
590,3.92,3.75,False,True,False,False,False,False,False,False,False
590,3.62,3.86,False,True,False,False,False,False,False,False,False
590,3.79,3.71,False,True,False,False,False,False,False,False,False
200,3.36,3.36,False,False,False,False,False,False,False,False,True
367,3.9,3.81,False,False,False,False,False,False,False,False,True
513,3.93,3.81,False,False,False,False,False,False,False,False,True
513,3.85,3.81,False,False,False,False,False,False,False,False,True
577,3.9,3.48,False,False,False,False,False,False,False,False,True
446,3.38,3.49,False,False,False,False,False,False,False,False,True
455,3.6,3.67,False,False,False,False,False,False,False,False,True
120,3.95,3.87,False,False,False,True,False,False,False,False,False
202,2.54,2.42,False,False,False,True,False,False,False,False,False
205,3.85,3.87,False,False,False,True,False,False,False,False,False
210,3.42,3.33,False,False,False,True,False,False,False,False,False
310,3.64,3.68,False,False,False,True,False,False,False,False,False
360,3.43,3.62,False,False,False,True,False,False,False,False,False
400,3.5,3.84,False,False,False,True,False,False,False,False,False
414,3.46,3.22,False,False,False,True,False,False,False,False,False
434,3.93,3.93,False,False,False,True,False,False,False,False,False
479,3.98,3.9,False,False,False,True,False,False,False,False,False
484,3.8,3.75,False,False,False,True,False,False,False,False,False
486,3.91,3.68,False,False,False,True,False,False,False,False,False
487,3.85,3.67,False,False,False,True,False,False,False,False,False
498,3.94,3.79,False,False,False,True,False,False,False,False,False
580,3.73,3.73,False,False,False,True,False,False,False,False,False
199,3.97,3.88,False,False,False,False,False,False,False,False,True
250,3.67,3.72,False,False,False,False,False,False,False,False,True
250,3.86,3.72,False,False,False,False,False,False,False,False,True
250,3.91,3.7,False,False,False,False,False,False,False,False,True
250,3.95,3.77,False,False,False,False,False,False,False,False,True
250,3.65,3.49,False,False,False,False,False,False,False,False,True
250,3.71,3.7,False,False,False,False,False,False,False,False,True
250,3.97,3.77,False,False,False,False,False,False,False,False,True
250,3.9,3.88,False,False,False,False,False,False,False,False,True
250,3.83,3.58,False,False,False,False,False,False,False,False,True
250,3.81,3.67,False,False,False,False,False,False,False,False,True
250,3.9,3.58,False,False,False,False,False,False,False,False,True
250,3.62,3.67,False,False,False,False,False,False,False,False,True
250,3.94,3.91,False,False,False,False,False,False,False,False,True
250,3.9,3.7,False,False,False,False,False,False,False,False,True
250,3.95,3.91,False,False,False,False,False,False,False,False,True
250,3.95,3.77,False,False,False,False,False,False,False,False,True
261,3.81,3.81,False,False,False,False,False,False,False,False,True
279,3.89,3.89,False,False,False,False,False,False,False,False,True
279,3.71,3.49,False,False,False,False,False,False,False,False,True
201,3.85,3.85,False,True,False,False,False,False,False,False,False
201,3.84,3.88,False,True,False,False,False,False,False,False,False
201,3.93,3.88,False,True,False,False,False,False,False,False,False
201,3.97,3.91,False,True,False,False,False,False,False,False,False
