Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Attendance_Percentage,GPA
20,Civil,7.29,5.39,7.89,7.9,97.32,2.82
21,Mechanical,5.02,6.9,4.92,1.83,90.27,2.74
23,Electrical,4.56,8.25,3.52,0.0,91.65,3.7
23,IT,7.0,6.87,3.56,17.08,95.66,3.01
20,Electrical,2.95,5.48,7.48,0.0,68.84,2.38
23,IT,4.65,7.15,10.37,0.0,84.65,3.5
19,Mechanical,4.87,6.44,3.04,7.73,80.21,2.68
22,Electrical,3.22,7.04,2.88,0.0,78.04,2.29
18,ECE,3.35,6.07,6.84,2.49,72.04,2.92
25,CSE,3.18,6.05,3.49,10.07,65.47,2.44
21,ECE,4.13,6.0,7.04,16.93,87.24,3.06
22,Civil,4.82,7.63,5.93,9.17,82.97,3.14
20,Mechanical,4.18,6.06,4.95,4.54,81.17,2.66
23,ECE,5.06,5.95,5.88,6.71,90.3,2.87
25,IT,1.05,5.37,5.76,0.0,74.63,2.2
23,Civil,3.67,7.04,4.64,4.48,81.96,3.03
17,Civil,2.46,6.87,1.49,4.48,72.84,2.92
17,ECE,4.45,5.96,5.36,7.86,84.58,2.87
25,ECE,4.43,5.65,8.15,17.88,80.68,2.42
25,Mechanical,3.83,8.75,1.78,0.0,79.31,3.32
20,CSE,4.77,4.24,3.07,4.72,84.55,2.32
25,ECE,5.5,7.09,5.85,0.0,83.55,3.2
19,ECE,3.91,8.05,5.08,4.18,79.65,3.3
23,Electrical,2.42,3.0,5.82,2.16,73.95,1.64
22,IT,1.63,7.45,3.6,0.0,70.73,2.94
24,Electrical,4.05,6.24,7.32,12.11,82.46,2.92
25,Electrical,4.36,6.81,5.09,8.43,75.12,3.27
21,Civil,2.55,6.11,6.39,11.46,78.87,2.46
17,CSE,5.09,7.79,5.64,4.02,91.17,3.65
19,IT,3.31,6.94,5.35,6.6,76.08,2.91
24,Mechanical,1.52,6.66,6.25,15.93,69.85,2.77
22,Mechanical,5.88,5.42,5.37,6.98,88.34,3.41
24,ECE,5.72,8.76,2.62,11.52,92.34,3.66
25,ECE,0.98,6.51,7.17,3.54,60.81,2.47
20,Mechanical,3.16,9.25,6.64,11.01,82.49,3.4
17,ECE,3.1,8.81,1.0,3.93,79.0,3.13
17,CSE,6.46,4.37,3.69,0.0,95.92,2.78
20,Electrical,3.85,5.71,7.08,6.96,78.73,2.95
23,ECE,1.76,5.26,1.35,4.37,61.72,2.44
18,Civil,5.32,6.44,6.89,0.0,91.04,3.24
19,ECE,2.15,6.72,4.72,8.07,63.87,3.1
17,IT,3.61,6.78,7.68,2.0,82.53,3.38
21,CSE,2.85,7.76,5.0,21.0,70.37,2.98
17,IT,3.16,8.29,3.56,0.0,67.86,2.98
24,IT,5.41,7.66,5.62,0.21,87.03,3.83
17,Civil,6.28,5.83,4.94,11.87,97.32,3.06
17,CSE,2.09,5.56,3.38,6.26,65.61,2.23
18,CSE,4.94,6.5,9.44,11.76,92.69,3.29
18,CSE,2.9,7.01,3.06,9.13,77.79,3.13
22,CSE,2.95,6.28,1.0,3.74,75.52,3.05
23,CSE,4.74,4.89,8.16,0.0,81.5,2.45
21,Civil,2.46,7.32,3.83,13.0,70.46,2.92
17,ECE,4.71,6.03,4.41,0.0,85.68,3.02
17,IT,5.1,5.99,4.28,10.13,89.71,3.0
19,CSE,3.35,6.43,3.86,12.15,73.79,2.62
18,ECE,5.99,6.21,3.47,6.29,85.92,3.19
21,ECE,2.09,6.06,3.01,5.3,69.38,2.44
22,IT,6.02,4.96,5.13,1.49,97.06,2.88
23,Civil,1.08,6.37,4.2,9.59,59.34,2.32
20,Mechanical,8.05,7.34,6.46,0.0,100.0,3.98
23,Mechanical,3.39,6.82,5.97,11.01,77.16,2.92
24,ECE,2.26,7.64,3.14,7.67,63.02,2.95
17,Electrical,3.65,5.63,5.22,5.75,75.95,2.62
22,Electrical,2.43,4.97,4.16,8.36,75.2,2.41
24,IT,4.58,6.2,3.02,0.0,91.91,2.89
21,Mechanical,6.05,5.76,6.38,0.0,83.62,3.26
20,ECE,2.51,5.89,4.76,9.62,58.45,2.42
18,Civil,4.87,6.75,4.18,14.37,77.8,3.02
22,Mechanical,1.7,5.9,3.29,0.0,74.16,2.54
22,ECE,5.55,5.0,2.94,1.11,78.78,3.1
17,ECE,4.62,5.83,8.98,11.21,90.61,2.73
25,CSE,5.61,6.91,5.67,9.01,94.15,3.33
22,Civil,3.82,7.31,2.82,21.0,80.04,3.26
19,CSE,3.35,7.29,5.58,13.02,73.6,2.86
20,IT,5.22,7.01,7.12,11.68,86.4,3.12
20,CSE,2.04,6.3,5.34,2.72,73.25,2.66
19,CSE,1.39,6.99,7.75,9.94,69.22,2.28
19,Mechanical,3.99,6.45,1.91,15.37,88.66,2.85
19,Electrical,3.42,6.64,1.02,6.08,75.78,2.54
20,ECE,4.83,5.37,5.52,6.34,77.65,3.01
23,Civil,5.64,6.55,5.55,7.79,80.8,3.11
20,CSE,4.8,6.95,1.0,3.28,75.61,3.16
25,Civil,5.52,6.91,3.75,8.51,88.57,2.94
17,Electrical,4.48,4.95,2.98,8.37,81.24,2.34
24,Electrical,4.74,6.62,2.22,15.29,83.87,3.32
23,CSE,3.83,4.77,2.98,5.94,76.44,2.66
18,IT,4.7,6.71,6.19,10.78,77.94,3.52
24,CSE,4.25,5.66,2.97,6.11,84.32,2.63
17,Mechanical,4.49,8.55,3.03,10.58,70.12,3.42
25,ECE,3.75,6.64,1.76,5.6,74.74,2.75
25,IT,5.21,7.46,7.54,10.21,90.0,3.27
18,CSE,2.93,9.03,5.87,11.08,70.17,3.62
23,Civil,3.97,5.52,1.0,1.03,81.82,2.87
19,IT,5.97,7.02,3.04,13.17,85.84,3.0
23,IT,2.58,5.08,6.06,6.07,70.61,2.76
25,CSE,0.76,6.91,7.56,4.37,66.66,2.61
20,IT,4.55,8.62,6.68,3.02,76.36,3.74
17,Civil,3.61,5.75,4.29,8.67,81.8,2.61
18,Electrical,5.52,5.44,1.14,6.97,87.81,2.68
17,IT,3.8,6.39,6.74,9.08,85.3,2.85
21,Electrical,3.09,8.95,4.41,9.19,76.51,3.09
21,Civil,3.89,7.43,5.14,10.41,74.08,3.13
23,CSE,5.64,5.41,4.65,21.0,96.84,2.6
25,ECE,4.86,8.25,2.29,7.22,79.39,3.14
25,IT,0.5,4.51,5.73,2.89,61.36,2.06
19,ECE,4.28,9.06,5.45,0.0,86.18,3.2
19,Civil,4.35,7.53,4.15,0.31,72.37,3.3
19,IT,3.97,8.62,5.94,13.92,87.06,3.56
20,Electrical,3.08,4.52,2.25,11.03,69.66,2.41
24,Mechanical,5.79,6.7,4.46,0.0,86.68,3.22
22,ECE,5.87,6.34,5.05,20.8,90.77,2.88
24,IT,0.7,5.29,1.53,8.83,63.27,2.17
17,ECE,2.8,4.94,4.89,9.58,77.96,2.6
24,IT,3.78,7.11,6.47,19.57,70.91,3.24
20,CSE,5.42,7.22,4.39,16.74,90.75,3.47
17,Electrical,4.05,8.06,4.93,11.37,84.3,3.34
24,ECE,2.97,5.9,6.12,11.64,80.02,2.15
20,Mechanical,5.06,6.33,4.22,12.17,77.37,2.82
22,Mechanical,3.68,4.84,4.4,5.65,71.07,2.31
24,Civil,3.82,8.35,2.65,8.61,77.41,3.14
20,IT,3.96,6.58,4.97,10.22,72.99,2.58
19,ECE,4.86,7.37,4.33,6.29,75.29,3.32
25,Civil,3.54,7.41,6.0,1.59,75.76,3.06
19,ECE,5.03,8.25,6.13,5.51,86.32,3.31
25,IT,3.89,5.5,6.58,1.47,93.45,2.99
18,Mechanical,2.4,7.34,3.98,7.36,74.74,2.68
18,CSE,3.94,6.47,1.0,0.0,88.49,2.93
18,Mechanical,2.48,9.03,6.48,8.91,72.17,3.38
22,Civil,4.06,5.5,5.86,0.0,83.11,2.4
19,Electrical,5.24,7.91,3.73,4.74,85.49,2.93
25,CSE,2.39,6.92,6.11,9.82,85.36,2.48
20,Civil,4.55,6.86,2.1,11.43,79.3,3.38
17,IT,2.76,6.56,7.06,10.77,71.03,2.76
20,CSE,4.3,8.12,4.33,8.79,85.5,3.24
17,Civil,5.29,6.82,3.34,0.73,87.49,3.36
21,IT,0.81,4.67,3.76,12.49,61.91,2.12
20,Mechanical,2.33,7.96,4.54,0.86,76.44,3.32
24,Electrical,3.45,7.74,4.98,13.13,77.03,3.17
24,IT,4.47,7.2,5.1,10.52,82.12,2.99
23,ECE,3.75,5.15,4.14,14.61,79.91,2.84
19,IT,3.93,5.33,5.4,7.14,70.99,2.88
17,IT,7.06,4.25,5.02,2.41,87.36,2.9
17,Electrical,2.18,7.05,3.7,0.0,76.34,3.09
19,ECE,5.7,4.88,3.4,0.38,85.13,2.84
22,Civil,3.48,4.44,6.22,0.0,76.71,2.68
23,Civil,4.82,8.03,6.05,12.28,92.18,3.2
22,IT,7.19,7.42,5.11,12.98,95.53,3.6
22,ECE,5.03,6.1,6.85,10.1,84.11,2.79
22,ECE,4.56,6.34,1.08,6.81,87.27,2.82
19,Electrical,6.4,3.61,3.87,18.54,89.0,2.58
22,Mechanical,5.69,7.6,2.69,6.45,94.45,3.4
24,Civil,2.8,5.67,9.51,8.24,78.38,2.9
18,Electrical,4.44,6.9,6.43,6.73,91.36,2.92
21,CSE,1.42,3.51,4.84,5.11,63.67,1.6
17,Civil,3.19,7.67,6.57,10.53,82.78,2.84
17,Electrical,4.47,5.6,7.23,3.45,85.13,2.93
21,Civil,3.1,4.85,7.21,3.08,68.86,2.36
19,Mechanical,4.41,6.09,6.84,10.82,69.07,2.7
20,CSE,3.98,5.78,4.47,4.21,75.91,2.86
19,Mechanical,4.8,7.79,4.0,7.75,85.48,3.51
17,CSE,3.36,6.0,3.08,5.09,79.01,2.44
17,IT,2.59,8.14,6.0,6.94,72.65,2.92
21,Electrical,6.22,6.9,4.68,3.23,90.84,3.62
22,CSE,3.26,7.57,4.16,3.41,75.65,3.36
19,Mechanical,4.99,6.5,4.06,2.41,90.11,2.52
25,Civil,6.15,8.03,7.9,11.72,83.58,3.27
21,CSE,4.24,5.12,6.91,7.96,82.56,2.76
24,Electrical,2.72,6.64,8.66,12.14,69.46,2.61
17,CSE,3.73,6.02,6.06,12.74,74.13,2.78
21,ECE,5.53,8.18,5.11,4.42,93.51,3.64
19,Civil,4.31,8.3,4.95,11.94,76.63,3.29
17,Electrical,2.19,6.5,2.96,6.92,70.26,2.62
20,Electrical,4.89,4.95,2.48,6.11,94.27,2.88
21,IT,5.15,7.01,6.01,14.01,89.96,2.99
23,Mechanical,3.47,4.5,3.13,10.1,75.06,2.58
17,IT,4.92,8.45,5.42,5.03,82.71,3.34
19,Electrical,4.37,5.93,7.23,9.74,75.7,2.7
18,Civil,3.7,6.46,3.67,0.0,85.02,3.08
25,CSE,2.06,5.68,9.02,8.38,75.36,2.42
22,CSE,5.62,5.42,3.02,0.0,91.52,3.05
19,Civil,5.14,7.38,6.98,1.49,89.68,3.21
24,Electrical,4.88,6.31,5.85,10.27,80.51,2.9
24,CSE,6.32,6.55,7.39,0.0,83.84,3.11
18,CSE,5.42,5.3,2.77,17.09,89.89,2.62
22,CSE,5.03,7.53,9.61,11.67,89.59,3.41
23,Mechanical,0.68,7.65,4.64,0.0,71.44,2.41
18,Mechanical,5.8,6.25,6.35,20.43,87.97,3.22
18,ECE,4.12,8.02,7.89,21.0,78.89,3.29
17,IT,4.47,6.38,3.79,5.99,81.15,2.91
24,Civil,4.48,7.44,6.65,1.81,85.75,2.97
17,Civil,5.16,4.55,3.46,16.44,84.39,3.04
25,Civil,5.68,6.92,7.79,5.07,88.16,3.17
22,ECE,4.95,6.17,3.48,7.9,88.91,2.87
23,Mechanical,4.71,6.69,5.08,13.82,80.44,3.0
23,Electrical,4.35,6.63,5.61,6.14,88.69,3.21
19,Electrical,0.5,6.65,6.57,5.65,65.67,2.61
18,ECE,3.57,7.24,8.94,0.0,68.55,3.11
25,Electrical,2.59,5.82,4.1,3.47,70.36,2.63
24,Civil,5.82,7.18,7.28,5.54,78.96,3.54
23,IT,4.93,7.98,8.94,0.06,83.66,3.37
25,CSE,3.31,4.81,5.33,0.57,74.07,2.49
20,Mechanical,3.46,5.56,3.9,7.19,81.49,2.32
20,Mechanical,3.41,5.61,1.54,0.0,72.64,2.58
17,ECE,3.38,5.19,8.77,2.08,78.85,2.72
24,Mechanical,1.83,5.93,4.51,17.89,72.01,2.59
19,Civil,1.51,7.74,3.0,5.07,68.83,2.72
23,Electrical,4.04,8.24,2.28,4.36,85.92,3.15
18,Civil,5.61,6.63,2.99,5.04,98.41,3.32
18,ECE,3.19,6.11,6.84,5.13,76.53,2.98
23,Civil,4.46,7.46,7.12,10.22,84.3,3.27
22,Electrical,5.1,3.66,6.3,9.83,81.11,2.31
19,IT,2.51,5.23,5.26,4.81,67.45,2.72
25,ECE,3.97,3.71,2.51,5.8,85.02,2.77
22,IT,3.0,5.22,3.54,14.35,79.51,2.81
22,CSE,6.41,5.58,2.79,0.0,86.9,2.91
17,IT,6.34,8.27,6.15,6.68,85.18,3.18
20,CSE,2.51,3.19,2.87,7.76,69.31,1.86
22,CSE,4.58,6.0,3.57,2.65,82.19,3.32
22,IT,5.6,7.24,4.63,6.36,85.96,3.58
21,ECE,5.27,6.99,1.66,1.89,87.17,3.24
17,Electrical,4.12,8.25,5.09,10.57,85.2,3.09
24,Civil,5.96,6.69,4.79,0.0,92.11,3.14
21,Civil,2.64,6.95,7.37,12.95,75.9,3.13
21,Electrical,3.55,4.29,3.36,6.59,65.47,2.74
23,CSE,2.68,5.31,2.4,4.49,65.35,2.65
20,CSE,5.17,4.36,4.25,1.37,81.89,2.65
22,ECE,3.13,7.19,2.8,12.77,72.47,3.08
20,Mechanical,3.74,6.92,5.08,3.35,82.91,3.04
19,IT,4.93,6.88,1.28,0.46,80.24,2.95
23,CSE,5.05,5.44,3.79,12.89,88.57,2.86
24,Civil,2.64,5.33,3.14,1.94,69.27,2.68
20,ECE,5.58,6.75,6.14,6.47,81.92,3.31
18,IT,4.68,5.7,3.38,11.59,77.65,2.74
19,ECE,2.38,5.28,1.53,7.88,83.18,2.35
17,IT,2.01,5.89,4.6,16.69,66.01,2.66
24,IT,3.98,5.71,5.64,2.32,83.34,2.72
19,Electrical,5.28,5.46,4.46,5.82,78.58,3.09
23,CSE,5.31,5.03,3.78,6.25,93.66,2.74
21,ECE,4.53,7.04,3.66,10.48,84.42,3.3
21,ECE,4.07,8.37,5.23,14.22,81.73,3.23
23,Electrical,4.77,6.45,3.22,7.41,85.91,3.2
25,Civil,2.72,6.77,4.34,6.23,76.21,2.76
21,Civil,6.53,7.14,6.5,0.0,96.7,3.14
17,CSE,6.51,6.94,2.4,7.63,89.56,2.88
17,CSE,4.64,5.48,4.91,3.36,79.93,2.54
18,Mechanical,4.3,8.56,1.42,10.46,81.73,3.54
22,Electrical,3.38,5.59,5.46,4.71,80.34,2.93
25,Civil,4.79,7.28,3.04,5.65,83.63,3.2
24,IT,2.96,7.14,7.04,0.0,78.68,3.02
21,ECE,0.66,4.15,2.05,0.0,66.41,1.64
17,CSE,0.5,6.07,5.88,17.42,61.42,2.52
23,ECE,2.8,6.57,7.44,7.73,65.27,2.38
21,ECE,4.23,6.66,2.94,9.26,78.66,2.98
22,Mechanical,4.5,6.86,3.28,1.89,91.2,3.59
23,Civil,3.27,7.41,3.11,11.9,78.05,3.01
19,CSE,4.21,6.49,4.03,10.89,77.87,2.61
19,ECE,3.59,6.93,6.03,2.51,79.2,2.68
21,CSE,2.5,6.45,3.86,1.07,75.89,3.25
22,IT,3.92,5.28,2.76,2.9,76.4,2.69
25,Mechanical,5.22,6.54,1.0,6.84,92.27,3.0
21,IT,2.57,7.4,8.2,7.94,75.32,2.78
17,CSE,2.57,7.83,8.36,7.22,67.35,2.9
20,CSE,2.4,7.14,6.12,14.27,76.26,2.65
21,Civil,1.1,8.1,3.38,3.0,63.43,2.95
21,ECE,3.28,7.0,6.5,0.91,75.5,2.8
23,ECE,5.07,7.54,6.9,7.0,80.28,3.53
20,IT,4.26,7.62,4.49,0.0,84.46,3.09
17,Mechanical,3.75,6.23,5.08,10.9,77.99,2.87
21,Electrical,4.19,7.37,7.46,7.55,84.34,2.71
23,ECE,3.27,5.37,1.72,5.11,73.58,2.51
22,Civil,1.08,6.92,7.0,4.8,62.06,2.48
21,IT,5.18,7.19,4.38,12.1,82.15,3.14
20,IT,5.61,7.76,2.77,11.92,90.01,3.28
18,Electrical,2.91,7.48,2.94,5.62,71.14,2.3
20,Civil,3.77,7.78,3.27,10.31,77.85,3.06
19,Mechanical,3.64,6.38,2.58,11.83,75.63,2.71
17,Civil,4.53,6.09,8.54,8.88,84.84,2.88
24,Mechanical,6.53,6.17,5.98,5.85,84.0,2.8
21,Civil,5.74,6.82,7.13,9.13,89.93,3.43
20,Civil,3.43,4.33,6.12,1.18,85.83,2.44
24,CSE,4.81,8.1,5.12,7.4,90.25,3.09
23,IT,5.88,6.55,5.15,5.69,86.32,3.09
18,Civil,4.61,6.0,4.2,4.82,85.54,3.22
17,Electrical,3.99,3.46,4.37,0.0,81.47,2.27
20,Civil,4.67,6.46,2.18,1.25,90.69,2.6
24,ECE,2.95,6.26,7.16,4.28,62.17,2.85
18,IT,3.16,5.42,1.37,12.01,81.38,2.37
19,ECE,2.4,5.69,2.88,8.6,70.68,2.59
17,IT,4.46,6.47,9.02,12.26,78.59,3.1
17,ECE,3.8,5.79,5.27,13.96,75.16,2.83
19,Civil,2.77,7.19,5.36,8.84,67.33,3.25
21,Civil,3.75,5.6,6.27,7.79,75.7,2.96
19,CSE,4.7,6.69,1.92,1.55,78.13,3.32
17,Electrical,6.87,7.92,2.21,18.13,95.26,4.0
17,ECE,5.52,6.46,4.11,0.0,90.54,3.15
24,Mechanical,0.57,6.93,3.19,7.66,61.59,2.38
18,CSE,4.36,6.85,4.85,11.66,89.29,3.12
19,ECE,6.14,6.51,5.97,11.74,87.98,2.98
18,ECE,1.99,6.42,7.78,0.53,68.42,2.62
19,CSE,4.83,5.81,6.62,4.65,81.77,2.87
23,Civil,3.65,6.68,3.01,2.53,81.22,3.08
17,ECE,5.73,6.16,4.25,0.0,92.13,3.19
24,Civil,4.61,8.36,3.71,7.73,85.51,3.66
18,CSE,2.67,7.47,2.97,2.98,72.75,2.62
19,Civil,3.7,4.76,2.51,15.43,71.79,2.48
25,IT,3.79,4.82,8.33,10.44,77.34,2.45
23,Mechanical,3.82,6.34,5.02,7.23,86.47,3.06
20,ECE,5.68,6.03,4.55,4.35,93.46,3.14
21,Electrical,2.74,6.28,5.97,7.64,75.15,2.75
18,Mechanical,5.5,7.28,6.07,5.57,85.6,3.46
24,Civil,3.55,6.88,7.24,7.39,77.67,2.95
20,ECE,4.34,6.87,3.51,17.65,79.78,3.32
25,Civil,4.11,8.24,5.81,1.04,86.51,3.24
21,IT,3.97,4.83,3.18,6.06,75.64,2.6
25,CSE,3.98,6.62,4.62,10.96,84.52,2.72
20,ECE,6.19,5.81,5.11,4.76,88.28,2.81
21,IT,5.26,8.22,5.31,15.85,92.92,3.52
25,IT,3.46,3.85,5.22,10.8,79.41,2.11
24,ECE,6.37,3.9,6.6,2.97,88.12,3.18
19,Civil,4.41,6.87,3.81,8.14,80.51,2.94
17,Electrical,4.54,7.85,5.36,3.05,86.24,2.66
19,IT,2.74,7.43,3.48,2.54,71.22,3.35
20,Mechanical,3.25,5.54,10.84,6.21,76.38,2.8
18,IT,2.97,8.31,3.17,14.08,72.27,2.92
17,Electrical,4.13,5.02,3.6,11.17,89.44,2.66
23,Civil,4.96,8.07,6.77,6.87,94.45,3.36
24,Civil,4.55,5.18,4.14,11.37,90.07,2.71
23,Mechanical,6.38,6.08,6.77,8.5,91.29,3.08
21,IT,2.67,7.27,5.31,0.45,71.33,2.87
17,Civil,4.17,4.74,4.19,6.19,76.97,2.74
23,Electrical,2.08,8.26,3.49,6.59,78.06,2.77
23,ECE,2.62,6.07,3.42,11.27,77.74,2.09
25,CSE,5.9,6.66,4.22,3.83,94.38,3.21
19,CSE,3.31,7.89,4.65,1.89,75.28,2.89
25,CSE,2.79,5.55,3.34,6.74,65.19,2.69
17,IT,0.81,7.77,4.78,3.39,56.39,2.47
17,Mechanical,2.78,8.47,2.81,5.19,74.19,2.74
20,Civil,3.69,5.71,6.51,6.55,75.85,2.38
25,ECE,1.96,8.14,6.89,4.85,66.63,3.0
22,Electrical,3.61,4.39,3.59,12.39,79.75,2.44
19,ECE,5.91,6.97,3.48,14.92,94.6,2.94
17,Electrical,2.94,5.03,5.36,11.83,71.19,2.34
20,IT,2.58,7.63,7.53,0.0,66.4,3.03
25,CSE,2.31,7.53,7.97,3.4,68.18,3.15
19,IT,2.29,8.99,2.19,6.0,66.22,2.91
25,Mechanical,4.8,8.21,7.01,0.0,86.98,3.43
