Subject,Number,Primary Instructor,Average_GPA,Instructor_Avg_GPA,College_ACES,College_Business,College_Education,College_Engineering,College_FAA,College_LAS,College_Languages,College_Media,College_Other
ACCY,501,AUGUSTO SAMPAIO,3.54,3.53,False,True,False,False,False,False,False,False,False
ACCY,501,AUGUSTO SAMPAIO,3.67,3.53,False,True,False,False,False,False,False,False,False
ACCY,501,AUGUSTO SAMPAIO,3.32,3.53,False,True,False,False,False,False,False,False,False
ACCY,501,AUGUSTO SAMPAIO,3.8,3.53,False,True,False,False,False,False,False,False,False
ACCY,502,MENDOZA,3.57,3.45,False,True,False,False,False,False,False,False,False
ACCY,502,MENDOZA,3.79,3.45,False,True,False,False,False,False,False,False,False
ACCY,503,HERBOLD,3.52,3.7,False,True,False,False,False,False,False,False,False
ACCY,503,AUGUSTO SAMPAIO,3.58,3.53,False,True,False,False,False,False,False,False,False
ACCY,503,AUGUSTO SAMPAIO,3.63,3.53,False,True,False,False,False,False,False,False,False
ACCY,503,CHEN,3.85,3.47,False,True,False,False,False,False,False,False,False
ACCY,503,AUGUSTO SAMPAIO,3.41,3.53,False,True,False,False,False,False,False,False,False
ACCY,503,AUGUSTO SAMPAIO,3.5,3.53,False,True,False,False,False,False,False,False,False
ACCY,503,CHEN,3.65,3.47,False,True,False,False,False,False,False,False,False
ACCY,506,IBRAHIM,3.58,3.45,False,True,False,False,False,False,False,False,False
ACCY,507,DONOHOE,3.46,3.44,False,True,False,False,False,False,False,False,False
ACCY,507,DONOHOE,3.76,3.44,False,True,False,False,False,False,False,False,False
ACCY,510,PERSSON,3.54,3.36,False,True,False,False,False,False,False,False,False
ACCY,512,WANG,3.83,3.43,False,True,False,False,False,False,False,False,False
ACCY,515,LULLO,3.05,3.25,False,True,False,False,False,False,False,False,False
ACCY,515,LULLO,3.29,3.25,False,True,False,False,False,False,False,False,False
ACCY,515,LULLO,3.49,3.25,False,True,False,False,False,False,False,False,False
ACCY,517,GODSELL,3.22,3.28,False,True,False,False,False,False,False,False,False
ACCY,517,GODSELL,3.6,3.28,False,True,False,False,False,False,False,False,False
ACCY,517,HAMM,3.78,3.57,False,True,False,False,False,False,False,False,False
ACCY,551,HUTCHENS,3.62,3.58,False,True,False,False,False,False,False,False,False
ACCY,552,STERNBURG,3.53,3.38,False,True,False,False,False,False,False,False,False
ACCY,554,HUTCHENS,3.65,3.58,False,True,False,False,False,False,False,False,False
ACCY,570,HERBOLD,3.95,3.7,False,True,False,False,False,False,False,False,False
ACCY,570,LU,3.92,3.83,False,True,False,False,False,False,False,False,False
ACCY,571,LU,3.88,3.83,False,True,False,False,False,False,False,False,False
ACCY,574,LEIBY,3.95,3.77,False,True,False,False,False,False,False,False,False
ACCY,574,LEIBY,3.88,3.77,False,True,False,False,False,False,False,False,False
ACCY,575,PARK,3.92,3.87,False,True,False,False,False,False,False,False,False
ACCY,575,PARK,3.89,3.87,False,True,False,False,False,False,False,False,False
ACCY,575,PENN,3.88,3.53,False,True,False,False,False,False,False,False,False
ACCY,575,ZHU,3.87,3.4,False,True,False,False,False,False,False,False,False
ACCY,575,ZHU,3.71,3.4,False,True,False,False,False,False,False,False,False
ACCY,575,PENN,3.83,3.53,False,True,False,False,False,False,False,False,False
ACCY,576,GUYMON,3.85,3.73,False,True,False,False,False,False,False,False,False
ACCY,577,LU,3.95,3.83,False,True,False,False,False,False,False,False,False
ACCY,593,BRUNNER,3.94,3.48,False,True,False,False,False,False,False,False,False
ACE,100,GUNDERSEN,2.86,2.89,False,False,False,False,False,False,False,False,True
ACE,100,GUNDERSEN,2.93,2.89,False,False,False,False,False,False,False,False,True
ACE,100,GUNDERSEN,3.08,2.89,False,False,False,False,False,False,False,False,True
ACE,161,BURNETT,3.66,3.49,False,False,False,False,False,False,False,False,True
ACE,161,LO,3.4,3.63,False,False,False,False,False,False,False,False,True
ACE,199,BOX-COUILLARD,3.67,3.83,False,False,False,False,False,False,False,False,True
ACE,199,BOX-COUILLARD,3.9,3.83,False,False,False,False,False,False,False,False,True
ACE,199,GOODRICH,3.6,3.7,False,False,False,False,False,False,False,False,True
ACE,199,GOODRICH,3.71,3.7,False,False,False,False,False,False,False,False,True
ACE,199,GOODRICH,3.79,3.7,False,False,False,False,False,False,False,False,True
ACE,210,DAMON,3.18,3.13,False,False,False,False,False,False,False,False,True
ACE,221,STODDARD,3.71,3.32,False,False,False,False,False,False,False,False,True
ACE,231,STODDARD,3.47,3.32,False,False,False,False,False,False,False,False,True
ACE,232,ELMORE,3.32,3.42,False,False,False,False,False,False,False,False,True
ACE,240,LEMOINE,3.7,3.7,False,False,False,False,False,False,False,False,True
ACE,240,SANCHEZ,3.45,3.39,False,False,False,False,False,False,False,False,True
ACE,242,FEE,3.55,3.59,False,False,False,False,False,False,False,False,True
ACE,262,GUNDERSEN,3.48,2.89,False,False,False,False,False,False,False,False,True
ACE,264,HULTGREN,3.42,3.41,False,False,False,False,False,False,False,False,True
ACE,270,GUNDERSEN,3.49,2.89,False,False,False,False,False,False,False,False,True
ACE,300,ENDRES,3.28,3.26,False,False,False,False,False,False,False,False,True
ACE,306,ENDRES,3.5,3.21,False,False,False,False,False,False,False,False,True
ACE,310,BRAZEE,3.71,3.21,False,False,False,False,False,False,False,False,True
ACE,345,ELMORE,3.27,3.42,False,False,False,False,False,False,False,False,True
ACE,349,SANCHEZ,3.41,3.39,False,False,False,False,False,False,False,False,True
ACE,360,MASHANGE,3.24,3.47,False,False,False,False,False,False,False,False,True
ACE,360,BURNETT,3.88,3.49,False,False,False,False,False,False,False,False,True
ACE,403,COPPESS,3.7,3.65,False,False,False,False,False,False,False,False,True
ACE,410,CARDOSO,3.5,3.5,False,False,False,False,False,False,False,False,True
ACE,427,JANZEN,3.41,3.28,False,False,False,False,False,False,False,False,True
ACE,428,STODDARD,3.01,3.32,False,False,False,False,False,False,False,False,True
ACE,430,KALAITZANDONAKE,3.64,3.51,False,False,False,False,False,False,False,False,True
ACE,435,SCHNITKEY,3.1,3.41,False,False,False,False,False,False,False,False,True
ACE,440,LEMOINE,3.95,3.7,False,False,False,False,False,False,False,False,True
ACE,444,SHERRICK,3.13,3.08,False,False,False,False,False,False,False,False,True
ACE,446,SHERRICK,3.41,3.08,False,False,False,False,False,False,False,False,True
ACE,449,SANCHEZ,3.3,3.39,False,False,False,False,False,False,False,False,True
ACE,456,HUTCHINS,3.29,3.18,False,False,False,False,False,False,False,False,True
ACE,474,XU,3.53,3.26,False,False,False,False,False,False,False,False,True
ACE,476,HERRERA ALMANZA,3.28,3.28,False,False,False,False,False,False,False,False,True
ACE,546,SHERRICK,3.76,3.08,False,False,False,False,False,False,False,False,True
ACES,102,MCCOY,3.56,3.64,True,False,False,False,False,False,False,False,False
ADV,150,OSHODI,3.67,3.81,False,False,False,False,False,False,False,True,False
ADV,150,CHICK,3.6,3.81,False,False,False,False,False,False,False,True,False
ADV,150,OSHODI,3.79,3.81,False,False,False,False,False,False,False,True,False
ADV,150,CHICK,3.78,3.81,False,False,False,False,False,False,False,True,False
ADV,150,GOODREAU,3.91,3.88,False,False,False,False,False,False,False,True,False
ADV,150,ZHAO,3.9,3.83,False,False,False,False,False,False,False,True,False
ADV,150,GOODREAU,3.86,3.88,False,False,False,False,False,False,False,True,False
ADV,150,ZHAO,3.84,3.83,False,False,False,False,False,False,False,True,False
ADV,175,CHAMBERS,3.68,3.14,False,False,False,False,False,False,False,True,False
ADV,200,LI,3.54,3.31,False,False,False,False,False,False,False,True,False
ADV,200,LI,2.77,3.31,False,False,False,False,False,False,False,True,False
ADV,201,OH,3.79,3.61,False,False,False,False,False,False,False,True,False
ADV,222,MERON,3.93,3.81,False,False,False,False,False,False,False,True,False
ADV,250,COOK,3.82,3.68,False,False,False,False,False,False,False,True,False
ADV,270,CLIFTON,3.38,3.51,False,False,False,False,False,False,False,True,False
ADV,280,SAR,2.96,3.32,False,False,False,False,False,False,False,True,False
ADV,281,RAHMAN,2.35,2.86,False,False,False,False,False,False,False,True,False
ADV,281,RAHMAN,2.54,2.86,False,False,False,False,False,False,False,True,False
ADV,281,PALTARATSKAYA,3.17,3.43,False,False,False,False,False,False,False,True,False
ADV,281,PALTARATSKAYA,2.97,3.43,False,False,False,False,False,False,False,True,False
ADV,284,LYERLA,3.54,3.71,False,False,False,False,False,False,False,True,False
ADV,284,SUN,3.59,3.62,False,False,False,False,False,False,False,True,False
ADV,284,SUN,3.78,3.62,False,False,False,False,False,False,False,True,False
ADV,284,LYERLA,3.65,3.71,False,False,False,False,False,False,False,True,False
ADV,290,PEACOCK,3.94,3.91,False,False,False,False,False,False,False,True,False
ADV,301,WILSON,3.75,3.39,False,False,False,False,False,False,False,True,False
ADV,310,YANG,3.05,3.4,False,False,False,False,False,False,False,True,False
ADV,314,BROWN,3.94,3.78,False,False,False,False,False,False,False,True,False
ADV,320,CLIFTON,3.76,3.51,False,False,False,False,False,False,False,True,False
ADV,333,MERON,3.97,3.81,False,False,False,False,False,False,False,True,False
ADV,350,VANCE,3.69,3.67,False,False,False,False,False,False,False,True,False
ADV,360,PARK,3.4,3.66,False,False,False,False,False,False,False,True,False
ADV,360,PARK,3.59,3.66,False,False,False,False,False,False,False,True,False
ADV,360,HEO,3.3,3.18,False,False,False,False,False,False,False,True,False
ADV,370,CLIFTON,3.75,3.51,False,False,False,False,False,False,False,True,False
ADV,390,MERON,3.8,3.81,False,False,False,False,False,False,False,True,False
ADV,393,VARGAS,3.8,3.27,False,False,False,False,False,False,False,True,False
ADV,409,KASDAN,3.78,3.85,False,False,False,False,False,False,False,True,False
ADV,410,WIRTZ,3.21,3.27,False,False,False,False,False,False,False,True,False
ADV,410,WIRTZ,3.27,3.27,False,False,False,False,False,False,False,True,False
ADV,461,TANEJA,3.52,3.36,False,False,False,False,False,False,False,True,False
ADV,480,SU,3.82,3.89,False,False,False,False,False,False,False,True,False
ADV,483,SAR,3.82,3.32,False,False,False,False,False,False,False,True,False
ADV,483,BHALLA,3.3,3.68,False,False,False,False,False,False,False,True,False
ADV,483,WISE,3.08,3.14,False,False,False,False,False,False,False,True,False
ADV,490,COOK,3.53,3.68,False,False,False,False,False,False,False,True,False
ADV,490,GLEASON,3.79,3.66,False,False,False,False,False,False,False,True,False
ADV,492,SU,3.85,3.89,False,False,False,False,False,False,False,True,False
ADV,498,PEACOCK,3.98,3.91,False,False,False,False,False,False,False,True,False
ADV,498,PEACOCK,3.98,3.91,False,False,False,False,False,False,False,True,False
ADV,582,NELSON,3.73,3.63,False,False,False,False,False,False,False,True,False
ADV,588,WISE,3.96,3.14,False,False,False,False,False,False,False,True,False
AE,140,LAYSTROM-WOODAR,3.38,3.51,False,False,False,True,False,False,False,False,False
AE,140,LAYSTROM-WOODAR,3.72,3.51,False,False,False,True,False,False,False,False,False
AE,140,LAYSTROM-WOODAR,3.56,3.51,False,False,False,True,False,False,False,False,False
AE,202,WROBLEWSKI,3.85,3.83,False,False,False,True,False,False,False,False,False
AE,202,WROBLEWSKI,3.98,3.83,False,False,False,True,False,False,False,False,False
AE,311,SAXTON-FOX,3.17,3.51,False,False,False,True,False,False,False,False,False
AE,312,PANERAI,2.62,3.14,False,False,False,True,False,False,False,False,False
AE,321,CHANG,3.24,3.15,False,False,False,True,False,False,False,False,False
AE,323,CHEW,3.15,3.15,False,False,False,True,False,False,False,False,False
AE,352,CHANG,3.37,3.15,False,False,False,True,False,False,False,False,False
AE,353,BRETL,3.74,3.48,False,False,False,True,False,False,False,False,False
AE,370,GOZA,3.62,3.36,False,False,False,True,False,False,False,False,False
AE,403,ZHAO,3.47,3.47,False,False,False,True,False,False,False,False,False
AE,410,EVRARD,3.54,3.51,False,False,False,True,False,False,False,False,False
AE,419,CLARKE,3.42,3.26,False,False,False,True,False,False,False,False,False
AE,434,LEVIN FLIFLET,3.27,3.11,False,False,False,True,False,False,False,False,False
AE,435,ROVEY,2.78,2.93,False,False,False,True,False,False,False,False,False
AE,443,MERRET,3.53,3.38,False,False,False,True,False,False,False,False,False
AE,443,SMART,3.26,3.49,False,False,False,True,False,False,False,False,False
AE,461,CHASIOTIS,3.58,3.24,False,False,False,True,False,False,False,False,False
AE,498,HAUSMAN,3.34,3.62,False,False,False,True,False,False,False,False,False
AE,508,WOOLLANDS,3.48,3.62,False,False,False,True,False,False,False,False,False
AE,526,BAUR,3.68,3.12,False,False,False,True,False,False,False,False,False
AE,598,EGGL,3.84,3.72,False,False,False,True,False,False,False,False,False
AFRO,132,MEYERS,3.23,3.48,False,False,False,False,False,False,False,False,True
AFRO,228,MEYERS,3.53,3.48,False,False,False,False,False,False,False,False,True
AFRO,411,WAIGHT,3.81,3.81,False,False,False,False,False,False,False,False,True
AGCM,220,ROBERTS,3.81,3.71,True,False,False,False,False,False,False,False,False
AGCM,420,AXTMAN-BARKER,3.66,3.62,True,False,False,False,False,False,False,False,False
AGCM,495,MORGAN,3.76,3.81,True,False,False,False,False,False,False,False,False
AIS,101,RYMHS,3.41,3.11,False,False,False,False,False,False,False,False,True
AIS,285,CALCATERRA,3.4,3.4,False,False,False,False,False,False,False,False,True
ALEC,115,AXTMAN-BARKER,3.46,3.62,True,False,False,False,False,False,False,False,False
ANSC,100,HARSH,3.59,3.65,True,False,False,False,False,False,False,False,False
ANSC,100,HARSH,3.52,3.65,True,False,False,False,False,False,False,False,False
ANSC,103,EMMERT,3.99,3.69,True,False,False,False,False,False,False,False,False
ANSC,199,EMMERT,3.26,3.69,True,False,False,False,False,False,False,False,False
ANSC,199,EMMERT,3.19,3.69,True,False,False,False,False,False,False,False,False
ANSC,199,EMMERT,3.52,3.69,True,False,False,False,False,False,False,False,False
ANSC,205,PARSONS,3.6,3.77,True,False,False,False,False,False,False,False,False
ANSC,207,SCHNEIDER,3.66,3.68,True,False,False,False,False,False,False,False,False
ANSC,210,BELL,3.87,3.87,True,False,False,False,False,False,False,False,False
ANSC,223,DILGER,2.97,3.1,True,False,False,False,False,False,False,False,False
ANSC,224,MILLER,2.67,2.83,True,False,False,False,False,False,False,False,False
ANSC,250,RICHARDSON,3.73,3.65,True,False,False,False,False,False,False,False,False
ANSC,255,SHIKE,3.88,3.75,True,False,False,False,False,False,False,False,False
ANSC,298,MORRIS,3.87,3.84,True,False,False,False,False,False,False,False,False
ANSC,363,KUKEKOVA,3.18,3.56,True,False,False,False,False,False,False,False,False
ANSC,404,PARSONS,3.81,3.77,True,False,False,False,False,False,False,False,False
ANSC,406,ROCA,3.29,3.46,True,False,False,False,False,False,False,False,False
ANSC,407,FISCHER-BROWN,2.81,3.29,True,False,False,False,False,False,False,False,False
ANSC,409,HARSH,3.49,3.65,True,False,False,False,False,False,False,False,False
ANSC,446,ROCA,3.75,3.46,True,False,False,False,False,False,False,False,False
ANSC,450,STEELMAN,3.1,2.9,True,False,False,False,False,False,False,False,False
ANSC,464,ANTONSON,3.68,3.71,True,False,False,False,False,False,False,False,False
ANSC,498,SHASTEEN,3.84,3.78,True,False,False,False,False,False,False,False,False
ANSC,526,CATTAI DE GODOY,3.57,3.56,True,False,False,False,False,False,False,False,False
ANTH,101,SHAW,3.89,3.89,False,False,False,False,False,True,False,False,False
ANTH,103,MARTIN,3.73,3.48,False,False,False,False,False,True,False,False,False
ANTH,103,ESCAMILLA,3.85,3.66,False,False,False,False,False,True,False,False,False
ANTH,105,NAIDOO,3.43,3.66,False,False,False,False,False,True,False,False,False
ANTH,246,ANTONIUK,3.56,3.7,False,False,False,False,False,True,False,False,False
ANTH,246,FARLEY,3.74,3.24,False,False,False,False,False,True,False,False,False
ANTH,249,BRINKWORTH,3.3,3.51,False,False,False,False,False,True,False,False,False
ANTH,259,QUINONES-RIVERA,3.05,3.44,False,False,False,False,False,True,False,False,False
ANTH,278,LUCERO,3.87,3.39,False,False,False,False,False,True,False,False,False
ANTH,462,FRANKENBERG,3.72,3.56,False,False,False,False,False,True,False,False,False
ARCH,172,CLARK,3.21,3.36,False,False,False,False,True,False,False,False,False
ARCH,232,UIHLEIN,3.41,3.01,False,False,False,False,True,False,False,False,False
ARCH,274,SWIATEK,3.49,3.54,False,False,False,False,True,False,False,False,False
ARCH,372,LAPUNZINA,3.67,3.46,False,False,False,False,True,False,False,False,False
ARCH,407,GROSSMAN,3.07,3.11,False,False,False,False,True,False,False,False,False
ARCH,409,CRUZ-GUAQUETA,3.58,3.58,False,False,False,False,True,False,False,False,False
ARCH,416,JOHNSON,3.18,3.15,False,False,False,False,True,False,False,False,False
ARCH,435,KRISHNAN,3.17,3.33,False,False,False,False,True,False,False,False,False
ARCH,435,BLANCO,2.64,2.64,False,False,False,False,True,False,False,False,False
ARCH,468,LAPUNZINA,3.68,3.46,False,False,False,False,True,False,False,False,False
ARCH,501,DEUTSCH,3.83,3.42,False,False,False,False,True,False,False,False,False
ARCH,517,BROSS,3.36,3.43,False,False,False,False,True,False,False,False,False
ARCH,535,PAWLIKOWSKI,3.45,3.62,False,False,False,False,True,False,False,False,False
ARCH,537,BOUBEKRI,3.56,3.24,False,False,False,False,True,False,False,False,False
ARCH,538,AMINMANSOUR,3.61,3.37,False,False,False,False,True,False,False,False,False
ARTD,218,SALAMANCA GARCI,3.89,3.85,False,False,False,False,True,False,False,False,False
ARTD,218,DE LA ROSA,3.45,3.51,False,False,False,False,True,False,False,False,False
ARTD,228,CHEN,3.78,3.45,False,False,False,False,True,False,False,False,False
ARTD,326,MUKACHIRAYIL,3.43,3.55,False,False,False,False,True,False,False,False,False
ARTD,326,MUKACHIRAYIL,3.72,3.55,False,False,False,False,True,False,False,False,False
ARTD,333,MARBLE,3.9,3.85,False,False,False,False,True,False,False,False,False
ARTD,333,DE LA ROSA,3.49,3.51,False,False,False,False,True,False,False,False,False
ARTD,333,BLAZEK,3.8,3.77,False,False,False,False,True,False,False,False,False
ARTD,402,SETHI,3.93,3.73,False,False,False,False,True,False,False,False,False
ARTD,418,PRIDEMORE,3.21,3.63,False,False,False,False,True,False,False,False,False
ARTD,426,SCHMIT,3.84,3.84,False,False,False,False,True,False,False,False,False
ARTD,471,MARBLE,3.88,3.85,False,False,False,False,True,False,False,False,False
ARTE,101,LUCERO,3.59,3.48,False,False,False,False,True,False,False,False,False
ARTH,211,WEISSMAN,3.76,3.31,False,False,False,False,True,False,False,False,False
ARTH,240,O'BRIEN,3.47,3.28,False,False,False,False,True,False,False,False,False
ARTH,242,ROMBERG,3.18,3.31,False,False,False,False,True,False,False,False,False
ARTH,299,SMITH,3.18,3.35,False,False,False,False,True,False,False,False,False
ARTH,343,VAZQUEZ,3.1,3.01,False,False,False,False,True,False,False,False,False
ARTJ,302,STIREK,3.89,3.65,False,False,False,False,True,False,False,False,False
ARTJ,397,FRANCIS,3.73,3.35,False,False,False,False,True,False,False,False,False
ARTJ,398,PALMIERI,3.52,3.23,False,False,False,False,True,False,False,False,False
ARTS,210,GU,3.94,3.94,False,False,False,False,True,False,False,False,False
ARTS,220,BECKER,3.51,3.81,False,False,False,False,True,False,False,False,False
ASRM,210,ICAZA,2.92,3.24,False,False,False,False,False,False,False,False,True
ASRM,406,CAITHAMER,2.66,2.66,False,False,False,False,False,False,False,False,True
ASRM,442,FREIJI,2.79,2.65,False,False,False,False,False,False,False,False,True
ASRM,454,JIA,3.25,3.46,False,False,False,False,False,False,False,False,True
ASRM,461,ICAZA,3.14,3.24,False,False,False,False,False,False,False,False,True
ASRM,469,LIU,3.79,3.72,False,False,False,False,False,False,False,False,True
ASRM,539,JING,3.45,3.51,False,False,False,False,False,False,False,False,True
ASTR,100,WINANS,3.29,3.19,False,False,False,False,False,True,False,False,False
ASTR,100,WINANS,2.86,3.19,False,False,False,False,False,True,False,False,False
ASTR,121,WINANS,3.24,3.19,False,False,False,False,False,True,False,False,False
ASTR,122,DUNNE,3.35,3.38,False,False,False,False,False,True,False,False,False
ASTR,150,LOONEY,3.76,3.44,False,False,False,False,False,True,False,False,False
ASTR,210,YOUNG,2.58,3.14,False,False,False,False,False,True,False,False,False
ASTR,210,YOUNG,2.78,3.14,False,False,False,False,False,True,False,False,False
ASTR,310,YOUNG,3.37,3.14,False,False,False,False,False,True,False,False,False
ASTR,330,LIU,3.7,3.58,False,False,False,False,False,True,False,False,False
ASTR,405,GAMMIE,3.17,2.93,False,False,False,False,False,True,False,False,False
ASTR,414,KEMBALL,3.07,3.24,False,False,False,False,False,True,False,False,False
ATMS,100,FRAME,3.14,3.12,False,False,False,False,False,True,False,False,False
ATMS,120,CHOATE,3.46,3.21,False,False,False,False,False,True,False,False,False
ATMS,140,PROISTOSESCU,3.89,3.73,False,False,False,False,False,True,False,False,False
ATMS,201,CHOATE,3.14,3.21,False,False,False,False,False,True,False,False,False
ATMS,207,JEWETT,3.95,3.74,False,False,False,False,False,True,False,False,False
ATMS,304,RIEMER,3.13,3.04,False,False,False,False,False,True,False,False,False
ATMS,313,FRAME,2.88,3.12,False,False,False,False,False,True,False,False,False
BADM,210,PANT,3.76,3.65,False,True,False,False,False,False,False,False,False
BADM,210,PANT,3.82,3.65,False,True,False,False,False,False,False,False,False
BADM,211,LIU,3.61,3.85,False,True,False,False,False,False,False,False,False
BADM,211,AHSEN,3.69,3.77,False,True,False,False,False,False,False,False,False
BADM,211,MOSHREF JAVADI,3.58,3.6,False,True,False,False,False,False,False,False,False
BADM,211,BAHRINI,3.74,3.83,False,True,False,False,False,False,False,False,False
BADM,211,AHSEN,3.82,3.77,False,True,False,False,False,False,False,False,False
BADM,211,LIU,3.62,3.85,False,True,False,False,False,False,False,False,False
BADM,211,LIU,3.89,3.85,False,True,False,False,False,False,False,False,False
BADM,211,LIU,3.82,3.85,False,True,False,False,False,False,False,False,False
BADM,275,TYAGI,3.81,3.8,False,True,False,False,False,False,False,False,False
BADM,275,LIANG,3.79,3.84,False,True,False,False,False,False,False,False,False
BADM,275,LIANG,3.79,3.84,False,True,False,False,False,False,False,False,False
BADM,275,LIANG,3.76,3.84,False,True,False,False,False,False,False,False,False
BADM,275,TYAGI,3.72,3.8,False,True,False,False,False,False,False,False,False
BADM,275,TYAGI,3.87,3.8,False,True,False,False,False,False,False,False,False
BADM,275,BADDAM,3.92,3.82,False,True,False,False,False,False,False,False,False
BADM,275,BADDAM,3.77,3.82,False,True,False,False,False,False,False,False,False
BADM,300,WARNICK,3.83,3.75,False,True,False,False,False,False,False,False,False
BADM,300,WINTER,3.26,3.35,False,True,False,False,False,False,False,False,False
BADM,310,WHITE,3.8,3.85,False,True,False,False,False,False,False,False,False
BADM,310,SWENDDAL,3.9,3.92,False,True,False,False,False,False,False,False,False
BADM,311,GUPTA,3.47,3.6,False,True,False,False,False,False,False,False,False
BADM,311,GUPTA,3.68,3.6,False,True,False,False,False,False,False,False,False
BADM,311,GUPTA,3.59,3.6,False,True,False,False,False,False,False,False,False
BADM,312,KRAATZ,3.47,3.53,False,True,False,False,False,False,False,False,False
BADM,312,OCASIO,3.57,3.53,False,True,False,False,False,False,False,False,False
